team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2015119,3.36,.253,47,.331,.430,.761,17,581,357,1.21,302,13,3.36,92
2016119,3.43,.238,48,.312,.386,.698,25,588,365,1.12,319,13,3.41,91
2017119,3.17,.256,59,.343,.445,.788,43,630,453,1.12,294,8,3.56,104
2018119,3.54,.244,48,.324,.433,.757,30,598,422,1.21,347,17,3.42,92
2019119,3.37,.263,60,.342,.466,.808,30,681,480,1.08,351,14,4.12,106
2021119,3.18,.240,53,.335,.411,.746,26,662,439,1.12,323,18,3.37,106
2022119,2.91,.252,53,.329,.433,.762,56,570,410,1.08,264,9,3.58,111
2023119,4.49,.243,50,.329,.452,.781,54,618,484,1.27,413,11,2.89,100
2024119,3.61,.255,55,.335,.440,.775,55,666,458,1.16,354,15,2.82,98
2013120,3.61,.241,46,.301,.387,.688,44,550,338,1.23,348,10,3.03,86
2014120,3.08,.247,48,.314,.382,.696,46,630,361,1.20,308,6,3.27,96
2015120,3.58,.254,46,.320,.401,.721,31,581,360,1.24,327,10,3.65,83
2016120,3.37,.254,51,.328,.433,.761,50,598,410,1.17,313,7,3.40,95
2017120,4.10,.278,51,.345,.470,.815,64,616,476,1.27,378,14,3.03,97
2018120,3.80,.244,45,.322,.404,.726,65,604,390,1.19,352,8,3.14,82
2019120,4.38,.254,47,.328,.437,.765,54,602,440,1.30,411,18,3.08,93
2021120,4.04,.253,42,.325,.408,.733,38,585,356,1.24,360,9,2.69,65
2022120,5.12,.250,30,.318,.375,.693,32,584,333,1.47,463,8,2.10,55
2023120,4.81,.259,34,.316,.392,.708,48,600,358,1.49,451,18,1.95,71
2024120,4.02,.239,42,.309,.370,.679,119,555,381,1.28,398,14,2.95,71
2013121,3.95,.235,37,.302,.378,.680,45,593,347,1.32,383,11,2.53,74
2014121,3.59,.238,40,.313,.362,.675,62,650,349,1.31,351,15,2.26,79
2015121,3.29,.232,43,.297,.356,.653,32,554,293,1.19,304,7,3.24,90
2016121,3.37,.241,47,.313,.419,.732,18,585,331,1.24,303,6,3.46,87
2017121,4.92,.250,39,.324,.449,.773,22,576,405,1.47,445,13,2.38,70
2018121,4.29,.231,35,.311,.384,.695,33,580,336,1.33,392,15,2.81,77
2019121,4.86,.254,40,.326,.431,.757,36,630,420,1.38,466,21,2.77,86
2021121,3.38,.231,46,.309,.370,.679,26,554,309,1.15,305,10,3.26,77
2022121,3.80,.258,52,.327,.402,.729,30,575,402,1.20,328,11,3.25,101
2023121,4.38,.243,42,.322,.408,.730,71,596,402,1.35,399,11,2.35,75
2024121,4.20,.247,44,.319,.414,.733,66,614,424,1.32,420,16,2.22,89
