team_id,p_runs,p_era,p_whip,p_strikeoutWalkRatio,p_ops,h_ops,h_leftOnBase,h_runs,h_hits,h_avg,wins
2010142,4.130952380952381,3.96,1.27,3.12,.738,.767,7.2023809523809526,4.690476190476191,9.285714285714286,.272,94
2011142,4.674418604651163,4.30,1.37,1.97,.744,.660,6.627906976744186,3.8372093023255816,8.36046511627907,.246,63
2012142,5.2023809523809526,4.93,1.41,2.06,.793,.724,7.178571428571429,4.178571428571429,8.833333333333334,.259,66
2013142,4.7176470588235295,4.50,1.42,2.14,.774,.706,7.529411764705882,4.1647058823529415,8.435294117647059,.246,66
2014142,4.556818181818182,4.36,1.34,2.32,.732,.689,7.454545454545454,4.136363636363637,8.340909090909092,.244,70
2015142,4.059523809523809,3.82,1.32,2.44,.735,.696,5.833333333333333,4.190476190476191,8.357142857142858,.251,83
2016142,5.2823529411764705,4.95,1.42,2.79,.803,.728,7.011764705882353,4.317647058823529,8.588235294117647,.250,59
2017142,5.1976744186046515,4.82,1.43,2.08,.797,.741,7.244186046511628,4.616279069767442,8.720930232558139,.254,85
2018142,4.604651162790698,4.37,1.36,2.61,.750,.706,6.604651162790698,4.255813953488372,8.116279069767442,.238,78
2019142,4.415730337078652,3.97,1.26,3.06,.711,.833,6.898876404494382,5.719101123595506,9.674157303370787,.272,101
2021142,5.411764705882353,5.01,1.37,2.66,.787,.748,6.91764705882353,4.6,8.294117647058824,.245,73
2022142,3.929411764705882,3.66,1.22,2.80,.697,.744,6.8,4.541176470588235,8.529411764705882,.253,78
2023142,3.730337078651685,3.53,1.15,3.43,.660,.711,6.865168539325842,4.224719101123595,7.808988764044944,.233,87
2024142,4.4,4.16,1.19,3.58,.694,.756,6.688888888888889,4.966666666666667,8.644444444444444,.255,82
2008143,4.222222222222222,3.92,1.36,1.97,.745,.774,7.377777777777778,5.0777777777777775,8.844444444444445,.257,92
2009143,4.851851851851852,4.66,1.44,2.05,.799,.791,7.37037037037037,5.333333333333333,9.0,.260,93
2010143,4.240963855421687,4.03,1.27,2.62,.738,.741,6.867469879518072,4.759036144578313,8.759036144578314,.257,97
2011143,3.272727272727273,3.05,1.18,3.05,.655,.700,7.386363636363637,4.159090909090909,8.397727272727273,.247,102
2012143,4.558139534883721,4.24,1.28,3.26,.739,.721,7.093023255813954,4.244186046511628,9.162790697674419,.263,81
2013143,4.46067415730337,4.19,1.33,2.48,.740,.719,6.584269662921348,3.932584269662921,8.730337078651685,.258,73
2014143,4.359550561797753,3.86,1.33,2.29,.719,.661,7.348314606741573,3.741573033707865,8.247191011235955,.237,73
2015143,5.0,4.63,1.47,2.24,.783,.664,6.930232558139535,3.4767441860465116,8.453488372093023,.247,63
2016143,4.609195402298851,4.34,1.31,3.16,.759,.686,5.954022988505747,3.5632183908045976,7.977011494252873,.242,71
2017143,4.952941176470588,4.71,1.40,2.29,.791,.694,6.470588235294118,3.8117647058823527,8.258823529411766,.242,66
2018143,4.209302325581396,3.88,1.27,3.04,.705,.718,7.0,4.476744186046512,7.8604651162790695,.237,80
2019143,4.888888888888889,4.64,1.40,2.53,.799,.749,6.955555555555556,4.911111111111111,8.366666666666667,.246,81
2021143,4.690476190476191,4.39,1.29,3.09,.738,.710,6.857142857142857,4.440476190476191,7.928571428571429,.239,82
2022143,4.168674698795181,3.80,1.23,2.97,.688,.738,6.602409638554217,4.855421686746988,8.433734939759036,.248,87
2023143,4.367816091954023,4.03,1.24,3.23,.698,.745,7.126436781609195,4.540229885057471,8.977011494252874,.260,90
2024143,3.7,3.26,1.13,3.52,.645,.747,7.188888888888889,4.911111111111111,8.833333333333334,.258,95
2008144,4.111111111111111,3.77,1.31,1.89,.716,.752,7.9,4.388888888888889,9.1,.264,72
2009144,4.325301204819277,3.87,1.34,2.13,.708,.726,7.493975903614458,4.192771084337349,8.891566265060241,.261,86
2010144,3.9058823529411764,3.66,1.28,2.22,.693,.736,7.623529411764705,4.682352941176471,8.647058823529411,.258,91
2011144,3.303370786516854,3.02,1.18,2.67,.630,.699,6.573033707865169,4.022471910112359,8.101123595505618,.240,89
2012144,4.214285714285714,3.93,1.30,2.33,.717,.731,6.821428571428571,4.607142857142857,8.785714285714286,.259,94
2013144,3.4886363636363638,3.29,1.20,2.93,.682,.740,7.1477272727272725,4.3522727272727275,8.409090909090908,.251,96
2014144,3.5842696629213484,3.22,1.24,2.96,.672,.683,7.134831460674158,3.707865168539326,8.337078651685394,.244,79
2015144,4.226190476190476,3.90,1.34,2.27,.733,.687,6.9523809523809526,3.9404761904761907,8.702380952380953,.257,67
2016144,4.662790697674419,4.32,1.33,2.31,.734,.638,7.069767441860465,3.372093023255814,8.034883720930232,.235,68
2017144,5.1647058823529415,4.68,1.39,2.14,.769,.733,6.811764705882353,4.552941176470588,9.094117647058823,.262,72
2018144,4.1022727272727275,3.79,1.28,2.31,.696,.750,7.136363636363637,4.954545454545454,9.113636363636363,.259,90
2019144,4.747252747252747,4.18,1.37,2.37,.748,.800,6.956043956043956,5.395604395604396,9.098901098901099,.263,97
2021144,4.534883720930233,4.26,1.32,2.61,.721,.746,6.732558139534884,4.72093023255814,7.813953488372093,.239,88
2022144,4.0,3.61,1.23,2.97,.656,.756,6.535714285714286,4.714285714285714,8.44047619047619,.248,101
2023144,3.9195402298850577,3.60,1.26,2.99,.695,.835,6.528735632183908,5.620689655172414,9.310344827586206,.271,104
2024144,3.6363636363636362,3.43,1.20,3.14,.663,.713,6.670454545454546,4.306818181818182,8.170454545454545,.243,89
2008145,3.8202247191011236,3.38,1.24,2.54,.690,.772,6.752808988764045,4.797752808988764,8.853932584269662,.261,89
2009145,4.433734939759036,3.99,1.34,2.17,.727,.755,6.518072289156627,4.518072289156627,8.698795180722891,.260,79
2010145,4.27710843373494,4.10,1.32,2.36,.711,.730,6.253012048192771,4.385542168674699,8.421686746987952,.254,88
2011145,4.112359550561798,3.83,1.28,2.45,.697,.704,6.876404494382022,3.9775280898876404,8.584269662921349,.251,79
2012145,3.988095238095238,3.82,1.21,2.81,.692,.738,6.464285714285714,4.761904761904762,8.833333333333334,.258,85
